제목,기사 내용
"전북지방우정청, 현금피탈사고 예방 모의훈련 실시","- 금융사고 예방 및 국민 재산 보호를 위해 전북지방우정청이 앞장서

전북지방우정청, 현금피탈사고 예방 모의훈련 실시

전북지방우정청(청장 김꽃마음)은 우체국 현장의 위기 상황발생 시 대처 능력을 향상하고 평시 사고 예방 경각심을 유지하기 위해 11월 한 달간 전북지역 모든 우체국에서 현금피탈 대응 모의훈련 및 방범장비 점검을 실시하고 있다고 24일 밝혔다.

이번 훈련 및 점검은 209개 우체국을 대상으로 강도에 의한 현금피탈 상황을 가정한 대응 모의훈련으로 현금피탈사고 발생 시 직원들의 역할 분담과 개인별 행동요령을 숙지하기 위해 마련했으며, 비상벨·CCTV·가스총 등 방범장비 사용요령 숙지, 경찰서 및 경비업체 등 유관 기관과의 협조체제 점검 등을 목적으로 실시한다.

전북지방우정청은 체계적인 사고예방 활동 및 내부통제 강화를 통해 18년 연속 금융 분야 무사고를 실현하고 있다.



전북지방우정청 김꽃마음 청장은 “직원들의 위기 상황 대응 능력 향상을 위한 모의훈련 및 장비 점검을 통해 금융사고 예방은 물론 소중한 고객의 재산을 보호하는 등 외부 침입으로부터 안전한 우체국 만들기에 최선을 다하겠다”고 말했다. 김종일기자



저작권자 © 전민일보 무단전재 및 재배포 금지"
재난 상황 어린이 생명부터...안전교육·장비 보급,"[앵커]

재난과 맞닥뜨렸을 때 가장 힘이 되는 건 평소 받아왔던 교육과 든든한 안전장비겠지요.



국제구호단체가 포항과 경주 등 지진피해 지역에 어린이를 위한 맞춤형 장비 보급과 대피 교육 등에 나섰습니다.



김근우 기자가 취재했습니다.



[기자]

비상벨이 울리고 바닥에는 희뿌연 연기가 깔립니다.



책상 아래로 대피한 학생들은 의자에 비치된 안전모를 꺼냅니다.



그러고는 자세를 낮춰 복도 난간을 잡고 운동장으로 대피합니다.



실전을 방불케 하는 지진 대피 훈련입니다.



[조예원 / 포항 대흥초 6학년 : 우리 학교 학생들이 장난이 아닌 걸 인지하고 진지하고 침착하게 대피해서 실제 상황에도 인명피해가 없을 것 같아요.]



학생들이 쓴 안전모는 국제구호단체와 건설사가 함께 만들어 보급했습니다.



기존 제품보다 가볍지만, 안전성은 더 높였습니다.



의자 밑에 보관할 수 있고, 무선식별 장치를 달아 위치 확인도 가능합니다.



[추은엽 / 포항 대흥초 교장 : 특히 학생들한테 바로 자기 자리, 의자 밑에 안전모가 있다는 건 혹시 모를 지진이 발생했을 때 즉시 머리를 보호할 수 있는 상태가 되고….]



포항과 경주, 부산 등 모두 22개 학교 학생 만천 명에게 안전모가 지급됐고, 대피 훈련도 이어졌습니다.



이 단체는 올해도 5천 개를 추가 보급하고, 사업 지역도 더 넓힐 계획입니다.



[김병학 / 국제구호단체 본부장 : 위급 상황 시 우리 아이들에게 보다 안전한 장비 보급과 더불어 재난안전교육을 생활화하는 데 목표가 있습니다.]



기후 변화 등으로 각종 재난이 끊이지 않는 가운데 어린이들을 보호하기 위한 민간 차원의 노력이 돋보입니다.



YTN 김근우입니다.





VJ : 김지억







YTN 김근우 (gnukim0526@ytn.co.kr)



※ '당신의 제보가 뉴스가 됩니다'

[카카오톡] YTN 검색해 채널 추가

[전화] 02-398-8585

[메일] social@ytn.co.kr

[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"구리시, 2023년 하반기 특이민원 대비 경찰 합동 모의 훈련","구리시는 시청 종합민원실에서 구리경찰서 교문지구대, 청원경찰 등과 합동으로 ‘2023년 하반기 특이민원 발생 대비 모의훈련’을 실시했다고 알렸다.

모의훈련은 민원 대응 지침에 따라 민원인 진정 유도 후 ▶피해 상황 녹음 및 촬영 ▶비상벨 작동을 통한 경찰신고 ▶피해 민원 담당자 보호 및 다른 민원인 대피 ▶경찰 출동으로 특이 민원인 제압 등 민원 처리 담당자 보호를 위한 훈련으로 진행돼 실제 상황을 방불케 했다.

이 훈련은 경찰과 합동으로 상하반기로 나눠 시청을 시작으로 12월까지 8개 동 행정복지센터 민원실에서도 자체적으로 진행된다.

아울러, 시는 본청 종합민원실과 8개 동 행정복지센터에 청원경찰을 배치하고 CCTV, 녹음기능 전화, 웨어러블 캠, 구리경찰서 연계 비상벨을 구비해 안전하게 민원업무를 볼 수 있게했다.

시 관계자는 ""최근 빈번히 발생하는 특이민원에 대한 정기적인 훈련으로 비상대응 역량을 강화하고, 비상 상황이 발생할 경우 체계적이고 신속하게 대응해 직원들과 민원인들이 안심하고 이용할 수 있는 민원실을 만드는데 최선을 다하겠다""라고 전했다.

구리=윤덕신 기자 dsyun@kihoilbo.co.kr





기호일보 - 아침을 여는 신문, KIHOILBO"
"용인특례시, 범죄예방 공공디자인 시범사업 마무리","컬쳐 | 뉴스

2023-11-24

용인특례시가 범죄예방 공공디자인 시범사업으로 설치한 소화기와 비상벨 (사진제공 : 용인특례시)





용인특례시는 범죄예방을 위해 시범사업으로 추진한 '2023 생활안전을 더하는 공공디자인' 사업의 시범설치를 완료했다고 밝혔다.



사업은 문화체육관광부의 '생활안전을 더하는 공공디자인' 사업의 일환으로 추진됐다.



범죄예방·생활안전시설물 표준디자인(생활안전디자인)을 개발해 시민들이 위급한 상황에서 쉽게 도움을 청할 수 있고, 비상시 대처할 수단을 보완했다.



시는 소방, 경찰, 범죄예방전문가의 기초조사와 시 공공디자인위원회 자문 등을 거쳐 이에 필요한 표준디자인을 확정했다.



총 6억9500만원을 들여 처인구 유림동과 기흥구 신갈동, 수지구 풍덕천1동 3곳에 생활안전디자인을 적용한 범죄예방·소방안전 시설물을 시범 설치했다.



구체적으로 사업 대상지 내 총 65곳에 생활안전디자인이 적용된 비상벨을 설치했고, 제작·설치·교체·관리를 위한 표준디자인 가이드라인을 마련해 일관되고 통일성있는 공공디자인을 구현했다.



소방차 진입이 어려운 곳에는 화재를 초기에 대응할 수 있도록 비상소화장치함을 마련해 누구나 이용할 수 있도록 했고 안심귀갓길 LED 안내사인과 스마트젝터를 활용해 어두운 밤길에서 일어날 수 있는 각종 사고와 범죄를 예방하는 마을 환경을 조성하기 위해 노력했다.



관계자는 ""범죄예방·생활안전 시설물 표준디자인 도입은 시민들의 안전한 보행길 조성과 범죄예방 효과를 높일 수 있을 것으로 기대한다""며 ""앞으로 시민의 안전과 편의를 증진하기 위해 생활안전디자인을 적용한 시설을 확대하고, 다양한 정책을 수립해 진행하겠다""고 말했다.



시는 지난 3월 사업 실무 추진과 상호 협력체계 구축을 위해 용인소방서, 용인동부경찰서, 용인서부경찰서와 업무협약을 맺었고 범죄예방 도시환경디자인 관련 내용을 추가한 '용인시 공공디자인 진흥에 관한 조례'를 개정했다.



글_김현혜 취재기자(khh@jungle.co.kr)"
"수원시, 위급할땐 CCTV 밑에비상벨로 도움 요청하세요",
[포커스] 안산형 시민안전모델 ‘진화 중’…안전도시↑,"▲이민근 안산시장 ‘일사천리 민생안전회의’ 주재. 사진제공=안산시

[안산=에너지경제신문 강근주 기자] 안산시가 관내 경찰과 소방당국이 함께 참여하는 ‘일사천리 민생안전회의’를 출범했다. 안산에서 도입해 전국으로 확대 중인 안산형 시민안전모델 기반을 보다 공고히 다지고 민생안전도시와 관련된 현안을 발 빠르게 대응하기 위해서다. 어떤 일이 거침없이 빨리 진행됨을 이르는 ‘일사천리(一瀉千里)’는 민생안전에서 만큼은 민-관-경-지자체가 합심해 빠르게 대처한다는 의미를 담고 있다.



안산시는 21일 시청 제1회의실에서 안산단원-상록경찰서장, 안산소방서장 등 각 대표 기관장이 참여하는 ‘제1회 일사천리 민생안전회의’를 열고 안산형 시민안전모델 추진사항과 민생안전 전반에 관한 주요 현안을 논의했다. 이날 회의에는 이민근 안산시장, 위동섭 안산단원경찰서장, 이민수 상록경찰서장, 이제철 안산소방서장 등이 참석한 가운데 진행됐다.





▲안산시 ‘일사천리 민생안전회의’ 현장. 사진제공=안산시

◆ 9월 주요 5대범죄 8월 대비 ‘14.2%’ 대폭감소



안산시는 올해 8월 잇따른 이상동기 범죄 발생에 따라 경찰력만으로는 물리적인 한계가 있다고 판단, 지방자치단체 및 민간단체와 적극적인 연대-협력을 기반으로 공동체 치안을 활성화하기 위해 경기남부경찰청과 함께 ‘안산형 시민안전모델’을 전국 최초로 발족했다.



이는 지역사회와 함께 치안행정력을 집중-강화해 지역주민 불안감 해소는 물론 피해를 최소화하고, 피해자가 발생하면 지원 가능한 연계 부서가 즉시 투입돼 적극적이고 신속한 피해보호대책 실시가 골자다.







출범 이후 여러 차례 지하철역 주변, 원곡동 다문화특구 등에서 합동순찰을 진행하며 관련 범죄를 원천 차단해 시민이 우려를 덜어냈다는 평가다. 아울러 9월에는 안산터미널역에서 경찰-소방인력과 합동훈련을 진행해 혹시 모를 실전상황에 철저히 대비했다.



안산형 시민안전모델 출범 이후 진행 사안으로는 △적극적인 범죄 대응 및 피해지원을 목표로 하는 ‘안산시-경기남부청 합동 TF 운영’ △다중밀집시설 중심으로 민-관-경 합동 특별치안활동 △이상동기 범죄 상황을 가상으로 설정해 민-관-경-소방의 모의훈련 전개 등이 있다.



안산형 시민안전모델은 이날 기준 경기남부청 관할 전체 시(성남, 화성, 여주, 양평, 군포, 부천, 안성, 이천, 의왕, 김포, 하남, 광명, 과천, 시흥, 용인, 평택, 오산, 안양, 수원, 광주)로 확대돼 지자체별로 운영 중이다.



지표로 확인되는 가시적인 성과도 도출됐다. 경찰청에 따르면, 8월 대비 9월 경기남부 전체 범죄건수는 2.3% 감소(2만3599건→ 2만3059건)한 것으로 집계됐다. 안산시는 주요 5대 범죄가 14.2%로 급감(607→ 521건)한 것으로 나타나 안산형 시민안전모델 역할이 주효했다는 분석이다.





▲안산시 ‘일사천리 민생안전회의’ 현장. 사진제공=안산시

◆ 이민근 안산시장 ""범죄 안전도시 만드는데 최선""



이날 출범한 일사천리 민생안전 회의는 이런 성과에 그치지 않고 시민안전모델의 최초 출범도시로서 선도적 역할을 수행하고 민생안전 기조를 이어나가기 위해 마련됐다.



회의는 범죄피해 예방 및 피해자 구제를 위한 실질적 제도개선에 무게를 두고 진행됐다. 주요 개선내용으로 △방범용 CCTV 추가 설치(도시정보센터) △시민안전보험 활용 범죄피해자 경제적 지원 확대(시민안전과) △피해자 보호지원 조례상 위로금 등 항목추가(의정법무과) △범죄피해자 신속 긴급복지 지원(복지정책과) 등 4개 항목이다.



여기에는 시민안전모델 구축 초기부터 경기남부경찰청과 논의된 바 있는 범죄 예방 및 대응부터 피해자 지원까지 치안 강화와 관련한 전반적인 내용이 폭넓게 포함돼 있다.



안산시는 앞으로 범죄피해자 추가 등 조례 개정, 시민안전보험 일부 범죄피해자 관련 항목으로 대체, 범죄피해자 보호 및 지원 조례상 위로금 및 교통비 지급, CCTV 증설예산 확보 등 부서별 맞춤형 정책으로 실효성을 극대화하는 방안을 추진할 계획이다.



아울러 경찰-소방-안산시 각 기관 간 112상황실 신고내용 실시간 공유 및 담당 부서로 즉시 전파체계를 유지해 신속하고 정확한 범죄대응을 가능하게 하는 112신고 체계 개편과 공중화장실 비상벨 음성인식시스템 개선 및 추가 설치를 안건으로 제의했다. 이밖에 일사천리 회의를 통해 안전영역 전반과 관련한 지속적인 제도개선을 위한 노력을 이어갈 방침이다.



이민근 시장은 일사천리 회의에서 ""안산형 시민안전모델이 경기남부청 관할 모든 지자체로 확대되고 5대 범죄율 감소 등 성과를 낼 수 있던 데는 민-관-경-소방 등 각 주체 간 긴밀한 협조와 연대가 있기에 가능했던 결과""라며 ""안산시는 여기에 그치지 않고, 시민안전모델을 선도하는 민생안전도시를 목표로 한 치의 소홀함 없이 행정력 지원을 아끼지 않을 것""이라고 강조했다.



위동섭 안산단원경찰서장은 ""안산형 시민안전모델이 민-관-경 협력 치안의 성공적 플랫폼으로 정착되고 경기남부 지자체 전체 시행에 선도적 역할을 주도한 만큼 범죄로부터 안전한 안산을 만들기 위해 시, 민간협력단체 등과 힘을 모아 공동체 치안활동에 최선을 다할 것""이라고 말했다.



이민수 안산상록경찰서장은 ""범죄율 감소라는 가시적인 성과가 확인된 만큼 안산시, 소방서, 자율방범대 등 민관협력 단체와 협업을 더욱 강화해 범죄 없는 안전한 안산을 만드는데 매진하겠다""고 말했다.

kkjoo0912@ekn.kr



"
"구리시, 하반기 특이민원 발생 대비 모의 훈련 실시","- 특이민원 발생 대비 구리시청, 구리경찰서 합동 모의훈련 실시

구리시는 지난 23일 시청 종합민원실에서 구리경찰서 교문지구대, 청원경찰 등과 합동으로 '2023년 하반기 특이민원 발생 대비 모의훈련'을 실시했다.(사진=구리시)

[구리=이진호기자] 구리시는 지난 23일 시청 종합민원실에서 구리경찰서 교문지구대, 청원경찰 등과 합동으로 '2023년 하반기 특이민원 발생 대비 모의훈련'을 실시했다.

모의훈련은 민원 대응 지침에 따라 민원인 진정 유도 후 ▲피해 상황 녹음 및 촬영 ▲비상벨 작동을 통한 경찰신고 ▲피해 민원 담당자 보호 및 다른 민원인 대피 ▲경찰 출동으로 특이 민원인 제압 등 민원 처리 담당자 보호를 위한 훈련으로 진행돼 실제 상황을 방불케 했다.

이 훈련은 경찰과 합동으로 상․하반기로 나눠 연 2회 이뤄지며, 시청을 시작으로 12월까지 8개 동 행정복지센터 민원실에서도 자체적으로 진행된다. 아울러, 시는 본청 종합민원실과 8개 동 행정복지센터에 청원경찰을 배치하고 CCTV, 녹음기능 전화, 웨어러블 캠, 구리경찰서 연계 비상벨을 구비해 안전한 민원실 조성 노력에 애쓰고 있다.

백경현 구리시장은 “최근 빈번히 발생하는 특이민원에 대한 정기적인 훈련으로 비상대응 역량을 강화하고, 비상 상황이 발생할 경우 체계적이고 신속하게 대응해 직원들과 민원인들이 안심하고 이용할 수 있는 민원실을 만드는데 최선을 다하겠다.”라고 전했다.

저작권자 © 경인매일 - 세력에 타협하지 않는 신문 무단전재 및 재배포 금지"
"한파에 성동형 스마트쉼터 '인기'…""누적이용자 510만 돌파""","성동구 스마트쉼터 [성동구 제공. 재판매 및 DB 금지]

(서울=연합뉴스) 정준영 기자 = 서울 성동구(구청장 정원오)는 지난 2020년부터 설치를 시작한 '성동형 스마트쉼터'의 누적 이용자가 500만명을 훌쩍 넘어섰다고 24일 밝혔다.

이 쉼터는 전국 최초로 2020년 8월 처음 설치된 '미래형 버스정류장'으로 겨울에 따뜻함을, 여름에 시원함을 제공하고 도로의 미세먼지와 매연을 막아주는가 하면 위급상황 시 안전도 지켜준다. 주요기능은 냉난방과 공기정화, 버스 도착정보 안내, 와이파이, 내부 폐쇄회로(CC)TV 실시간 관제, 휴대폰 무선충전 등이 있다.

구는 올해 4곳을 추가해 총 53곳으로 늘렸다. 특히 청각 약자의 청취력 향상에 도움을 주는 '히어링 루프'(Hearing Loop) 47대와 자동심장충격기 12대를 설치해 업그레이드했다.

광고

이날 찾아온 매서운 추위에 쉼터를 이용하는 주민들이 부쩍 늘었다고 구는 전했다.

올해 10월 말 기준으로 누적 이용자 수는 510만명을 돌파했다. 구 관계자는 ""이는 약 28만 명의 성동구민이 18회 이상 스마트쉼터를 방문한 셈으로, 같은 기간 관내 7개 구립도서관 총 이용객의 1.4배에 해당하는 수치""라고 설명했다.

쉼터에는 비상벨이 설치돼 있고 실시간 CCTV관제가 이뤄져 주민 안전공간 역할도 한다. 지난 4월 쉼터에서 심정지 환자가 발생했는데 관제실 직원과 쉼터에 있던 구민이 응급환자를 구한 일도 있다.

벤치마킹을 위한 방문도 이어지고 있다. 올해 세르비아, 일본 도쿄도 등에서 찾아와 노하우를 배워갔다고 구는 설명했다.

구는 오전 4시부터 밤 12시까지 운영 중이지만, 대설경보 시에는 24시간 운영할 예정이다.

정원오 구청장은 ""주민과 가까운 곳에서 안전과 쉼터로서의 역할을 해내고 있다""라며 ""본격적인 한파에도 스마트쉼터를 차질없이 운영할 것""이라고 덧붙였다.

성동형 스마트쉼터 [성동구 제공. 재판매 및 DB 금지]

prince@yna.co.kr



제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
"구리시, 2023년 하반기 특이민원 발생 대비 모의 훈련 실시","[경기 위클리오늘=박종국 기자] 구리시는 지난 23일 시청 종합민원실에서 구리경찰서 교문지구대, 청원경찰 등과 합동으로 '2023년 하반기 특이민원 발생 대비 모의훈련'을 실시했다.

모의훈련은 민원 대응 지침에 따라 민원인 진정 유도 후 ▲피해 상황 녹음 및 촬영 ▲비상벨 작동을 통한 경찰신고 ▲피해 민원 담당자 보호 및 다른 민원인 대피 ▲경찰 출동으로 특이 민원인 제압 등 민원 처리 담당자 보호를 위한 훈련으로 진행돼 실제 상황을 방불케 했다.

이 훈련은 경찰과 합동으로 상․하반기로 나눠 연 2회 이뤄지며, 시청을 시작으로 12월까지 8개 동 행정복지센터 민원실에서도 자체적으로 진행된다. 아울러, 시는 본청 종합민원실과 8개 동 행정복지센터에 청원경찰을 배치하고 CCTV, 녹음기능 전화, 웨어러블 캠, 구리경찰서 연계 비상벨을 구비해 안전한 민원실 조성 노력에 애쓰고 있다."
"전북지방우청정, 현금피탈 대응 모의훈련 실시","전북지방우정청 직원들이 전주덕진경찰서 및 경비업체와 현금피탈사고 예방 모의훈련을 실시하고 있다./전북지방우정청 제공.

전북지방우정청은 도내 우체국에서 현금 피탈 사고 대응 모의 훈련을 실시했다고 24일 밝혔다.

우정청은 우체국 현장에서 발생하는 위기 상황에 대한 대처 능력을 향상하고 경각심을 유지하고자 도내 경찰서 등과의 합동 훈련을 마련했다.

지난 1일부터 진행된 이번 훈련은 도내 209개 우체국을 대상으로 이달 말까지 차례대로 진행될 예정이다.

주요 훈련 내용으로는 강도에 의한 현금 피탈 상황을 가정해 ▲역할 분담 및 개인별 행동 요령 ▲비상벨·CCTV·가스총 등 방범 장비 사용법 ▲경찰서, 경비업체 등 관계기관과 협조체제 점검 등이다.

김꽃마음 청장은 ""전북지방우정청은 체계적인 사고 예방 활동 및 내부통제 강화를 통해 18년 연속 금융 무사고를 실현했다""면서 ""이번 훈련을 통해 금융사고 예방은 물론 소중한 고객의 재산을 보호하는 등 외부 침입으로부터 안전한 우체국 만들기에 최선을 다할 것”이라고 말했다."
"전북지방우정청, 현금피탈사고 예방 모의훈련 실시","전북지방우정청(청장 김꽃마음)은 우체국 현장의 위기 상황발생 시 대처 능력을 향상하고 평시 사고 예방 경각심을 유지하기 위해 이달 전북지역 모든 우체국에서 현금피탈 대응 모의훈련 및 방범장비 점검을 실시하고 있다.





이번 훈련 및 점검은 209개 우체국을 대상으로 강도에 의한 현금피탈 상황을 가정한 대응 모의훈련으로 현금피탈사고 발생 시 직원들의 역할 분담과 개인별 행동요령을 숙지하기 위해 마련했다.





또 비상벨·CCTV·가스총 등 방범장비 사용요령 숙지, 경찰서 및 경비업체 등 유관 기관과의 협조체제 점검 등을 목적으로 실시한다.





특히 전북지방우정청은 체계적인 사고예방 활동 및 내부통제 강화를 통해 18년 연속 금융 분야 무사고를 실현하고 있다.





김꽃마음 청장은 “직원들의 위기 상황 대응 능력 향상을 위한 모의훈련 및 장비 점검을 통해 금융사고 예방은 물론 소중한 고객의 재산을 보호하는 등 외부 침입으로부터 안전한 우체국 만들기에 최선을 다하겠다”고 말했다.



"
"성동구, '성동형 스마트쉼터' 53곳 운영","▲ 추운 겨울 성동형 스마트쉼터를 이용하는 주민들의 모습

컨슈머타임스=김동역 기자 | 서울 성동구가 올해 성동형 스마트쉼터를 4곳을 추가 설치하여 구 전역에서 총 53곳으로 확대 운영한다.

성동형 스마트쉼터는 전국 최초로 지난 2020년 8월 처음 설치된 미래형 버스정류장으로 겨울에는 따뜻하고, 여름에는 시원하다. 또 도로 위 미세먼지와 매연으로부터 주민들의 건강을 지켜주고 위급상황 시에도 안전을 지켜준다. 스마트쉼터의 주요기능은 냉난방과 공기정화, 버스 도착정보 안내와 와이파이는 물론 내부 CCTV 실시간 관제, 휴대폰 무선충전 등이 있다.

구는 올해 상반기 스마트쉼터 3곳을 설치한 데 이어 지난 11월 중순 뚝섬역에 1곳을 추가 설치해 총 53곳의 스마트쉼터를 운영한다. 스마트쉼터에는 비상벨이 설치되어 있고 실시간 CCTV관제가 이루어져 주민 안전공간 역할도 한다.

올해는 청각 약자의 청취력 향상에 도움을 주는 '히어링 루프(Hearing Loop)' 47대와 자동심장충격기 12대를 설치했다. 스마트포용도시라는 성동구 슬로건에 걸맞게 교통약자에 대한 세심한 배려와 안전 기능까지 담았다.

구는 본격적인 겨울을 대비해 전체 쉼터에 대해 전수 점검하고 정기적인 청소를 통해 관리하고 있다. 또 기존 새벽 4시에서 밤 12시까지 운영하던 것을 대설경보 시에는 24시간 운영할 예정이다.

저작권자 © 컨슈머타임스(Consumertimes) 무단전재 및 재배포 금지"
"대우건설, ""김해 삼계 푸르지오 센트럴파크"" 12월 분양","• 영구조망 숲세권과 노후화된 북부신도시 대체주거지 기대

• 도보권 신명초 및 분성중·고 등 김해 명문학군과 장신대역 학원가 이용

• 김해에서 선호도 높은 ‘푸르지오’ 신규 공급… 전용면적 84~110㎡, 총 630세대 조성

[정건희 기자]대우건설은 경상남도 김해시 삼계동 1027-3번지 일원에 ‘김해 삼계 푸르지오 센트럴파크’를 12월 분양할 예정이다. 이 단지는 주변 영구조망 숲세권과 노후화된 북부신도시 대체주거지로 기대를 모으고 있다.

‘김해 삼계 푸르지오 센트럴파크’는 지하 3층~지상 28층 아파트 6개동 전용면적 84~110㎡, 총 630세대로 조성된다. 남향 위주에 판상형 구조(84A, 84B, 110)와 혼합형 구조(84D), 2면 개방형 설계(84C)를 적용해 채광성과 일조권, 조망권을 극대화했다.

김해 삼계 푸르지오 센트럴파크 조감도[사진=대우건설]

■ 58번 국도 및 가야대역 인접...김해 시내, 부산 등 이동 편리

‘김해 삼계 푸르지오 센트럴파크’는 김해 시내를 차량으로 약 5분 이내 이동이 가능하다. 또한, 2024년 7월경 무계-삼계 국도대체우회도로 중 주촌면과 삼계동 구간이 일부 개통예정이고, 2025년 12월경에는 전면 개통 예정으로 광역 교통 연결성이 더욱 좋아질 전망이다. 이 밖에도 광재IC, 서김해IC 등을 통한 고속도로 접근도 용이하고, 부산김해경전철선 가야대역이 가까이 있어 부산권으로 쉽게 이동할 수 있다.

교육 여건과 주변 인프라도 우수하다. 신명초가 도보권에 위치하고 분성중, 분성고, 구산고 등 초중고를 아우르는 학군을 갖췄다. 특히 단지에서 장신대역 학원가가 가깝고 화정글샘도서관 등 다양한 교육인프라도 인근에 들어서 있다.

장신대역 인근 삼계동 중심상업지역과 대형마트, 병원 등 각종 생활 편의시설이 가까워 편리한 생활을 할 수 있다. 분성산, 경운산에 둘러싸인 숲세권에 위치해 있으며 인근 해반천을 따라 마련된 산책로와 김해 시민체육공원 등도 가깝다.

■ 김해 대표 브랜드 ‘푸르지오’에 걸맞은 특화설계 선봬

김해는 ‘푸르지오’ 아파트 텃밭으로 꼽힌다. 대우건설은 김해시 최고가 아파트 ‘연지공원 푸르지오’, ‘부원역 푸르지오’ 등을 비롯해 최근 2년간 김해 푸르지오 하이엔드 2차, 김해 구산 푸르지오 파크테르 등을 분양하며 명실상부한 김해 대표 브랜드로 자리매김하고 있다.

이에 ‘김해 삼계 푸르지오 센트럴파크’는 김해 주민들의 니즈를 반영한 설계와 커뮤니티 등을 차별화한 단지로 선보일 예정이다. 타입에 따라 현관 창고, 워크인 팬트리, 복도 팬트리, 알파룸, 드레스룸, 파우더장 등 수납에 최적화된 특화 설계를 적용했다.

커뮤니티시설로는 피트니스클럽, 골프클럽, 시니어클럽, 어린이집, 다함께 돌봄센터, 독서실, 작은 도서관, 그리너리 스튜디오, 게스트하우스 등이 들어선다. 세대당 1.36대 이상의 주차공간 설계로 넉넉한 주차공간을 확보했으며 100% 지하주차를 통해 지상에 차가 없는 안전하고 공원 같은 단지로 조성했다.

입주민의 안전하고 편리한 거주를 위해 지문인식 디지털 도어록과 스마트도어 카메라, 고화질 CCTV, 주차관제시스템, 지하주차장 비상벨 시스템, 무인택배시스템을 도입하고 늘어나는 전기차 수요에 맞추어 10기의 넉넉한 전기차 충전설비도 갖추고 있다. 조명제어, 난방제어, 쿡탑열원차단, 세대현관방문객확인 및 문열림, 원격검침, 엘리베이터 호출까지 가능한 스마트한 Wall-Pad가 적용되며, 스마트폰을 이용해 공동현관 자동열림 및 엘리베이터 호출이 가능한 모바일 원패스 시스템을 선보인다.

대우건설만의 기술력으로 단지입구부터 지하주차장, 각 동 출입구, 엘리베이터 내부와 집안까지 미세먼지가 발생되는 구역을 5개로 구분하여 집중적으로 관리, 차단하는 청정 시스템도 도입된다.

대우건설 관계자는 “김해 삼계 푸르지오 센트럴파크는 김해에서 교통·교육·자연 환경의 3박자를 갖춘 새로운 인기 주거 지역에 들어서는 단지”라며 “특히 김해시에서 선호도 높은 ‘푸르지오’ 브랜드 아파트의 신규 공급으로 지역민들의 관심이 높을 것으로 예상된다”라고 말했다.

‘김해 삼계 푸르지오 센트럴파크’ 견본주택은 김해시 삼정동 472번지에 위치하며, 입주예정월은 2027년 4월이다.

저작권자 © 파이낸스투데이 무단전재 및 재배포 금지

Fn투데이는 여러분의 후원금을 귀하게 쓰겠습니다."
"삼척시, 여성안심 귀갓길·취약지역 현장 모니터링 실시","삼척시는 지난 22~23일 각각 오후 7시 여성안심 귀갓길 및 취약지역에 대해 민·관·경 합동으로 현장 모니터링을 실시했다. [사진=삼척시]

[이뉴스투데이 강원취재본부 최석환 기자] 삼척시는 지난 22~23일 각각 오후 7시 여성안심 귀갓길 및 취약지역에 대해 민·관·경 합동으로 현장 모니터링을 실시했다고 24일 밝혔다.

여성안심 귀갓길 사업은 시설개선을 통해 여성들이 안심하고 귀가할 수 있는 통행로를 확보하기 위한 사업이다.

시는 삼척경찰서와 협업해 2020년부터 교동택지 원룸 밀집 지역, 강원대 삼척캠퍼스 후문 원룸 지역, 청아중학교 인근~성북삼거리 방면 등 여성안심 귀갓길 3개 구간 2.7㎞를 지정해 방범용 CCTV, 반사경, 비상벨, 로고젝터, 가로등·보안등 등 방범 시설물을 설치해 운영하고 있다.

이날 모니터링은 2023년 여성안심 행복밤길 조성사업 일환으로서 삼척시, 삼척경찰서, 여성친화도시 시민참여단 등 25여 명이 함께 여성안심 귀갓길 1구간(교동택지 원룸 밀집 지역)을 대상으로 시설물 점멸 상태 및 밤거리 안전 확보를 위한 개선사항 등을 현장 확인했다.

또 여성안심 귀갓길 1구간 내에 있는 안심부스 이용 방법을 안내하고 실제 정상 작동 여부를 확인했다.

시는 현장 모니터링을 통해 확인된 개선요구사항을 관련 부서와 공유하여 검토하고 조치해 나갈 계획이다.

시 관계자는 “앞으로도 유관기관과 협력하여 지속적인 모니터링을 통해 안심하고 다닐 수 있는 안전한 환경을 조성하기 위해 노력하겠다”고 말했다."
"수원시, 공원 내 CCTV에비상벨설치","- 관제센터와 경찰에 위급상황 알릴 수 있어

CCTV에 설치된 비상벨.(사진=수원시)

[수원=최승곤기자] 수원시가 공원에 있는 CCTV 204개소에 관제센터와 경찰에 위급상황을 알릴 수 있는 비상벨을 설치했다.

지난 3월부터 11월까지 비상벨과 야간에도 시민들이 알아보기 쉬운 LED 안내판을 설치했다.

수원시는 올해 말까지 기존에 설치한 CCTV 비상벨 343대를 일제 점검하고, 미비한 점을 발견하면 신속하게 조치할 방침이다.

수원시 관계자는 “공원 안전 CCTV 비상벨을 지속해서 확대 설치하겠다”며 “위급상황이 발생했을 때 신속하고 정확한 상황 대응으로 시민 불안감이 해소하겠다”고 전했다.

저작권자 © 경인매일 - 세력에 타협하지 않는 신문 무단전재 및 재배포 금지"
