제목,기사 내용,타임스탬프
"동작구 ""올해 대외 위상 높였다""…총 33건 수상","도시개발·공약이행·적극행정 등 각종 대외기관 평가에서 사업 우수성 증명

박일하 동작구청장(중앙)이 지난 6월 열린 혁신담당관 워크숍에서 구청 직원들과 간담회를 하고 있다.[동작구 제공]

서울 동작구(구청장 박일하)는 올해 정부와 외부기관 평가에서 총 33건의 수상 실적을 올리며 6억 3,100만 원의 사업비를 확보했다고 20일 밝혔다.

지난해 12월부터 올해 11월까지 도시개발, 적극행정 및 혁신, 공약이행 등 다양한 대외기관 평가에서 높은 점수를 받았다.

먼저 도시개발 부문에서는 ‘대한민국 지방자치 혁신대상’ 도시혁신 부문에서 ‘대상’의 영예를 안았다. ‘도시개발·관리 가이드라인’ 수립 및 ‘동작구형 재건축 멘토단’ 제도 도입 등을 통해 정비사업기간을 절반 이상으로 앞당기는 ‘동작구형 재개발·재건축’이 높은 평가를 받았다.

적극행정 및 혁신 부문에서는 행정안전부 주관 ‘지방자치단체 적극행정 종합평가’에서 서울시 25개 자치구 중 1위를 차지해 ‘장관상’을 받았다. 또 행안부 주관 ‘지방자치단체 혁신평가’에서는 전국 243개 지자체 중 4년 연속 우수기관으로 선정됐다. 기관장의 혁신 리더십과 주민참여 활성화 등에서 높은 평가를 받았다.

공약이행 부문에서는 민선8기 표어(슬로건) ‘일하는 동작 새로운 변화’ 아래 7대 분야 총 108건의 공약을 추진하며 주민이 체감하는 변화를 위해 노력했다. 그 결과 한국매니페스토실천본부 주관 ‘민선8기 전국기초단체장 공약실천계획서 평가’에서 SA등급을, ‘전국기초단체장 매니페스토 우수사례 경진대회’에서 우수상을 연달아 받았다.

이밖에도 법무부에서 주최한 ‘범죄예방대상’ 법질서 분야에서 전국 최초로 비상벨과 폐쇄회로텔레비전(CCTV)을 결합한 ‘통합방범모듈’을 개발하는 등 안전한 도시환경조성으로 국무총리 표창을 수상했다.

또 건전하고 효율적인 재정운용으로 행안부 주관 ‘회계연도 지방자치단체 재정분석’ 결과 서울시에서 유일하게 최우수 지자체로 선정돼 행안부 장관 표창과 특별교부세 1억 원을 확보했다.

박일하 구청장은 “한 해 동안 동작구의 새로운 변화를 위해 구청 전 직원이 구민과 적극적으로 노력한 결과”라며 “앞으로도 주민에게 힘이 되고 자부심이 되어 줄 다양하고 새로운 정책들을 차질 없이 추진하겠다”고 말했다.

[전국매일신문] 서울/ 백인숙기자

insook@jeonmae.co.kr

저작권자 © 전국매일신문 - 전국의 생생한 뉴스를 ‘한눈에’ 무단전재 및 재배포 금지",2023-12-29 01:22:46
"동작구, 올해 대외 위상 높였다… 총 33건 수상","도시개발·공약이행·적극행정 등 각종 대외기관 평가에서 사업 우수성 증명

(사진=동작구)

서울 동작구는 20일 올해 정부와 외부기관 평가에서 총 33건의 수상 실적을 올리며 6억3100만 원의 사업비를 확보했다고 밝혔다.

지난해 12월부터 올해 11월까지 도시개발, 적극행정 및 혁신, 공약이행 등 다양한 대외기관 평가에서 높은 점수를 받았다.

먼저 도시개발 부문에서는 대한경제신문이 주최한 ‘대한민국 지방자치 혁신대상’ 도시혁신 부문에서 ‘대상’을 안았다.

‘도시개발·관리 가이드라인’ 수립 및 ‘동작구형 재건축 멘토단’ 제도 도입 등을 통해 정비 사업 기간을 절반 이상으로 앞당기는 ‘동작구형 재개발·재건축’이 높은 평가를 받았다.

적극행정 및 혁신 부문에서는 행정안전부 주관 ‘지방자치단체 적극행정 종합평가’에서 서울시 25개 자치구 중 1위를 차지해 ‘장관상’을 받았다.

또한 행안부 주관 ‘지방자치단체 혁신평가’에서는 전국 243개 지자체 중 4년 연속 우수기관으로 선정됐다. 기관장의 혁신 리더십과 주민참여 활성화 등에서 높은 평가를 받았다.

공약이행 부문에서는 민선 8기 표어(슬로건) ‘일하는 동작 새로운 변화’ 아래 7대 분야 총 108건의 공약을 추진하며 주민이 체감하는 변화를 위해 노력했다.

그 결과 한국매니페스토실천본부 주관 ‘민선 8기 전국 기초단체장 공약실천계획서 평가’에서 ‘SA등급’을, ‘전국 기초단체장 매니페스토 우수사례 경진대회’에서 ‘우수상’을 연달아 받았다.

이 밖에도 법무부에서 주최한 ‘범죄예방대상’ 법질서 분야에서 전국 최초로 비상벨과 폐쇄회로텔레비전(CCTV)을 결합한 ‘통합방범모듈’을 개발하는 등 안전한 도시 환경 조성으로 국무총리 표창을 수상했다.

또한 건전하고 효율적인 재정 운용으로 행안부 주관 ‘회계연도 지방자치단체 재정분석’ 결과 서울시에서 유일하게 최우수 지자체로 선정돼 행안부 장관 표창과 특별교부세 1억 원을 확보하게 됐다.

박일하 구청장은 “한 해 동안 동작구의 새로운 변화를 위해 구청 전 직원이 구민과 적극적으로 노력한 결과”며 “앞으로도 주민에게 힘이 되고 자부심이 되어 줄 다양하고 새로운 정책들을 차질 없이 추진하겠다”고 말했다.

[신아일보] 서울/허인 기자

ih@shinailbo.co.kr

저작권자 © 신아일보 무단전재 및 재배포 금지",2023-12-29 01:22:46
"남녀 출입 동선 분리…서울 공중화장실, 내년부터 더안전해진다","서울시, 범죄예방환경디자인 강화된 공중화장실 유니버설디자인 지침서 내년 도입 위급상황 발생 시 신속대응 가능하도록 사람 통행 많고 잘 보이는 위치에 화장실 배치 남녀화장실 분리 가벽, 자연 감시 가능하도록 반투명 소재 사용…소리 전달 위해 상부 개방 그동안 기준 없던 비상벨·안심거울·CCTV 등 안전시설 설치 및 운영기준도 구체화

공중화장실 유니버설디자인 적용지침 세부 내용ⓒ서울시 제공

서울시는 범죄예방환경디자인(CPTED)이 강화된 '공중화장실 유니버설디자인 적용지침'을 개발해 내년부터 공중화장실에 적용한다고 19일 밝혔다.





유니버설디자인이란 성별·나이·장애 유무·국적에 관계 없이 차별받지 않고 누구나 안전하고 편리하게 이용할 수 있는 디자인을 뜻한다.





새롭게 개발된 적용지침서에는 기존의 유니버설디자인에 '안전 분야'를 강화한 CATED 개념을 더해 디자인적 보편성과 안전성을 높이는 가이드라인이 담겼다.





구체적으로 ▲ 화장실 배치 기준 ▲ 남녀화장실 출입구 동선 분리·분리 가벽 디자인 개발▲ 비상벨·안심거울·CCTV 등 안전편의시설 설치기준 구체화 ▲ 사용자 유형별 점검표 등이다.





먼저 화장실 배치는 위급상황 발생 시 신속하게 대응할 수 있도록 사람들의 통행이 많고 어디서나 잘 보이는 위치에 두도록 했다. 남녀 화장실 출입구 동선은 현장 여건에 따라 적용할 수 있는 동선 분리방안과 안전시설 설치방안을 함께 제시하고 있다. 또 남녀화장실 분리 가벽은 자연 감시가 가능하게끔 반투명 소재를 사용하여 개방성과 보안을 동시에 충족토록 했으며, 안전사고 시 소리가 전달될 수 있도록 하여 상부는 개방한다.





그동안 별도 기준이 없었던 비상벨, 안심거울, CCTV 등 안전시설 설치 및 운영기준도 구체화했다. 비상벨은 필요한 순간에 눈에 쉽게 띌 수 있도록 표기 요소를 명료화하고 시인성을 개선한다. 또 거울 위주의 간결한 디자인의 안심거울을 설치해 후방 감시가 즉시 가능토록 설치한다.





시는 화장실 설계·담당 관리자가 지침서 내용을 적극 활용할 수 있도록 관련 기관과 자치구에 지침서를 배포하고 체계적인 공중화장실 조성·관리를 유도할 방침이다. 아울러 공중화장실 조성 시 유니버설디자인 적용에 어려움을 겪는 경우 서울유니버설디자인센터를 통해 해결할 수 있도록 컨설팅도 지원할 예정이다.





최인규 서울시 디자인정책관은 ""이번 지침서 고도화를 통해 서울시 내에 누구에게나 편리하고 안전한 공중화장실이 확산될 것으로 기대된다""며 ""서울의 매력을 충분히 전달하고 세계적인 관광도시로 발돋움하는데‘깨끗하고 안전한 화장실’도 중요한 역할을 하는만큼 공공.민간화장실안전과 질적 향상을 위해 지속적으로 노력해 나갈것""이라고말했다.",2023-12-29 01:22:47
"[위클리오늘] HDC현대산업개발, 제4회 '기술제안공모제' 시상식 개최","지난 19일 HDC현대산업개발이 개최한 ‘제4회 기술제안공모제’ 시상식 모습 (사진=HDC현대산업개발)

[위클리오늘=김인환 기자] HDC현대산업개발이 올해 우수한 기술 역량을 발전시킨 기업을 시상하며 중소·벤처기업과의 상생 협력을 확대하고 미래 건설 산업을 선도할 기술을 발굴하고 있다.

지난 19일 HDC현대산업개발은 서울 용산구 본사에서 ‘제4회 기술제안공모제’ 우수기술 제안을 선정하고 시상식을 진행했다. 우수작으로 선정된 기업에는 기술개발지원금과 상장을 수여했다.

HDC현대산업개발은 앞서 지난 9월 19일부터 10월 31일까지 ▲스마트 건설 ▲친환경·탄소저감 기술 ▲신사업 분야 ▲현장 안전·품질관리 기술 분야에서 총 44건의 기술 제안을 접수해 서류 심사와 최종 PT 심사를 거쳐 건설 현장에 적용 가능한 4건의 우수작을 선정했다.

2020년부터 매년 이어진 기술제안공모제는 협력 기업들과 동반발전을 추구하며 지속 가능한 ESG 경영체계를 구축해나가기 위해 마련된 제도다. 현재 HDC현대산업개발의 협력사뿐만 아니라 건설업의 새로운 가치를 창출할 아이디어를 가진 기업이라면 누구나 참여할 수 있다.

공모제에서 선정된 우수기술 제안에는 파일럿 검사(PILOT TEST)를 통해 사업화 기회를 부여하고 선정된 업체에는 기술협약 및 멘토링과 더불어 협력회사 등록, 장기공급권 등 다양한 인센티브가 주어진다.

이번 공모제에서 금상은 해원엠에스씨의 ‘락보드를 적용한 욕실 건식 벽체 시스템’이 선정됐다. 이 시스템은 건식벽체 도입을 통해 구조 경량화와 건식화를 통한 마감 품질을 높이는 기술이다.

은상에는 유진레미콘의 ‘누름콘크리트 균열 제어 성능 향상 라텍스 혼화제 개발’이 채택됐으며 킹스에코텍의 ‘외벽 층간 조인트 및 균열 부위 고탄성퍼티’와 양수금속의 ‘내진 단열재 보재’가 동상에 선정됐다.

아울러 비록 우수작으로 선정되지 못했지만 자재 공급선 확대 및 옵션 상품 도입에 관한 3건의 기술 제안도 활용할 예정이다.

HDC현대산업개발 관계자는 “올해에도 내실 있는 훌륭한 기술 제안들이 대다수 출품되어 기업들의 우수한 역량을 확인할 수 있었다”며 “선정된 우수작은 적극적인 지원으로 전국 현장 여건에 알맞게 적용될 수 있도록 개발해 협력 기업들과의 상생 기술 협력을 극대화할 것”이라고 밝혔다.

한편, HDC현대산업개발은 올해에도 우수기술을 개발하기 위해 매진하고 있다. 국내 최초의 스마트·에코 기술력을 기반으로 천장에 설치되는 ‘무선AP일체형 미세먼지 측정장치’를 만들어 공기질센서 일체형 무선AP를 통한 홈네트워크 연동 및 실내자동환기 제어로 공기질의 쾌적환 순환과 에너지 절약을 동시에 이뤄냈다.

아울러 창문형 자동폐쇄장치를 이용한 ‘엘리베이터홀 동파방지 시스템’으로 간단하면서 효율적인 에너지 절감형 동파방지 기술을 개발했다.

아울러 지난 제16회 건설기술연구 우수사례 시상식에서 HDC현대산업개발의 ‘비상벨 일체형 전기차 충전용 콘센트’와 ‘공동주택 층간소음방지 난방배관 지지패널’ 기술이 각각 융합 부문 국토부장관상과 안전환경 부문 한국건설경영협회장상을 수상했다.

앞으로도 HDC현대산업개발은 적극적인 건설 R&D 투자, 협력사 및 중소·벤처기업과의 협업 등 건설업계의 전반적인 기술력 향상 및 동반성장을 도모하기 위한 다양한 활동을 지속적으로 이어나갈 계획이다.",2023-12-29 01:22:48
"충남 당진시, 범죄예방 환경 설계 공모 '선정'","행안부 경찰국 주관 공모···사업비 3억원 확보

당진시청 전경.(사진=당진시)

[서울파이낸스 (당진) 하동길 기자] 충남자치경찰위원회는 20일 행정안전부 경찰국 주관 ‘지역 범죄예방 환경디자인(CPTED) 개선 시책’ 공모사업에 당진시가 선정돼 총 3억 원의 사업비를 확보했다고 밝혔다.

이번 공모에선 전국 12개 자치경찰위원회의 15개 사업이 선정됐다.

당진시의 범죄예방시책은 ‘시내권 이상동기 범죄예방디자인 사업’으로 개별 단위 사업 중 가장 많은 3억 원의 특별교부세를 확보했다.

이 사업은 이상동기 범죄 관련 현장 대응 역량을 강화하기 위해 구도심과 골목길, 방치된 공터 등 취약 지역의 환경·경관(디자인)을 개선해 범행 기회를 사전에 차단하고 지역주민에게 심리적 안전감 제공하는 것이 목표다.

이번 사업으로 당진시는 민관 전문가 추진협의체를 통해 범죄예방을 위한 의견을 수렴하고 당진시 읍내동 일원에 △야간 조명, 폐회로텔레비전(CCTV), 출입 억제 시설물 설치 △골목길 개선 △비상벨 통합 시스템 운영 등을 추진한다.

이종원 위원장은 ""이번 공모 선정은 민관 협업으로 이상동기 범죄 예방 등 지역 치안 안정화에 좋은 계기가 될 것""이라며 ""사업의 차질 없는 추진을 위해 최선을 다할 것""이라고 말했다.

저작권자 © 서울파이낸스 무단전재 및 재배포 금지",2023-12-29 01:22:49
"동작구, 올해 대외 위상 높였다…총 33건 수상","박일하동작구청장은 지난 6월 9일 혁신담당관 워크숍에서 구청 직원들과 간담회를 진행하고 있다. [사진제공=동작구청]

(서울=국제뉴스) 김서중 기자 = 동작구(구청장 박일하)는 올해 정부와 외부기관 평가에서 총 33건의 수상 실적을 올리며 6억 3100만 원의 사업비를 확보했다.

지난해 12월부터 올해 11월까지 도시개발, 적극행정 및 혁신, 공약이행 등 다양한 대외기관 평가에서 높은 점수를 받았다.

먼저 도시개발 부문에서는 대한경제신문이 주최한 ‘대한민국 지방자치 혁신대상’ 도시혁신 부문에서 ‘대상’의 영예를 안았다.

‘도시개발·관리 가이드라인’ 수립 및 ‘동작구형 재건축 멘토단’ 제도 도입 등을 통해 정비 사업 기간을 절반 이상으로 앞당기는 ‘동작구형 재개발·재건축’이 높은 평가를 받았다.

적극행정 및 혁신 부문에서는 행정안전부 주관 ‘지방자치단체 적극행정 종합평가’에서 서울시 25개 자치구 중 1위를 차지해 ‘장관상’을 받았다.

또한 행안부 주관 ‘지방자치단체 혁신평가’에서는 전국 243개 지자체 중 4년 연속 우수기관으로 선정됐다. 기관장의 혁신 리더십과 주민참여 활성화 등에서 높은 평가를 받았다.

재건축 멘토단 사전컨설팅에 앞서 인사 말씀을 하는 박일하 동작구청장 [사진제공=동작구청]

공약이행 부문에서는 민선 8기 표어(슬로건) ‘일하는 동작 새로운 변화’ 아래 7대 분야 총 108건의 공약을 추진하며 주민이 체감하는 변화를 위해 노력했다.

그 결과 한국매니페스토실천본부 주관 ‘민선 8기 전국 기초단체장 공약실천계획서 평가’에서 ‘SA등급’을, ‘전국 기초단체장 매니페스토 우수사례 경진대회’에서 ‘우수상’을 연달아 받았다.

이 밖에도 법무부에서 주최한 ‘범죄예방대상’ 법질서 분야에서 전국 최초로 비상벨과 폐쇄회로텔레비전(CCTV)을 결합한 ‘통합방범모듈’을 개발하는 등 안전한 도시 환경 조성으로 국무총리 표창을 수상했다.

또한 건전하고 효율적인 재정 운용으로 행안부 주관 ‘회계연도 지방자치단체 재정분석’ 결과 서울시에서 유일하게 최우수 지자체로 선정돼 행안부 장관 표창과 특별교부세 1억 원을 확보하게 됐다.

박일하 동작구청장은 “한 해 동안 동작구의 새로운 변화를 위해 구청 전 직원이 구민과 적극적으로 노력한 결과”며 “앞으로도 주민에게 힘이 되고 자부심이 되어 줄 다양하고 새로운 정책들을 차질 없이 추진하겠다”고 말했다.",2023-12-29 01:22:50
"동작구, 올해 대외 위상 높였다…총 33건 수상","도시개발·공약이행·적극행정 등 각종 대외기관 평가에서 사업 우수성 증명



동작구(구청장 박일하)는 올해 정부와 외부기관 평가에서 총 33건의 수상 실적을 올리며 6억 3100만 원의 사업비를 확보했다.

지난해 12월부터 올해 11월까지 도시개발, 적극행정 및 혁신, 공약이행 등 다양한 대외기관 평가에서 높은 점수를 받았다.

먼저 도시개발 부문에서는 대한경제신문이 주최한 ‘대한민국 지방자치 혁신대상’ 도시혁신 부문에서 ‘대상’의 영예를 안았다.

‘도시개발·관리 가이드라인’ 수립 및 ‘동작구형 재건축 멘토단’ 제도 도입 등을 통해 정비 사업 기간을 절반 이상으로 앞당기는 ‘동작구형 재개발·재건축’이 높은 평가를 받았다.

적극행정 및 혁신 부문에서는 행정안전부 주관 ‘지방자치단체 적극행정 종합평가’에서 서울시 25개 자치구 중 1위를 차지해 ‘장관상’을 받았다.

또 행안부 주관 ‘지방자치단체 혁신평가’에서는 전국 243개 지자체 중 4년 연속 우수기관으로 선정됐다. 기관장의 혁신 리더십과 주민참여 활성화 등에서 높은 평가를 받았다.

공약이행 부문에서는 민선 8기 표어(슬로건) ‘일하는 동작 새로운 변화’ 아래 7대 분야 총 108건의 공약을 추진하며 주민이 체감하는 변화를 위해 노력했다.

그 결과 한국매니페스토실천본부 주관 ‘민선 8기 전국 기초단체장 공약실천계획서 평가’에서 ‘SA등급’을, ‘전국 기초단체장 매니페스토 우수사례 경진대회’에서 ‘우수상’을 연달아 받았다.

이 밖에도 법무부에서 주최한 ‘범죄예방대상’ 법질서 분야에서 전국 최초로 비상벨과 폐쇄회로텔레비전(CCTV)을 결합한 ‘통합방범모듈’을 개발하는 등 안전한 도시 환경 조성으로 국무총리 표창을 수상했다.

또 건전하고 효율적인 재정 운용으로 행안부 주관 ‘회계연도 지방자치단체 재정분석’ 결과 서울시에서 유일하게 최우수 지자체로 선정돼 행안부 장관 표창과 특별교부세 1억 원을 확보하게 됐다.

박일하 동작구청장은 “한 해 동안 동작구의 새로운 변화를 위해 구청 전 직원이 구민과 적극적으로 노력한 결과”며 “앞으로도 주민에게 힘이 되고 자부심이 되어 줄 다양하고 새로운 정책들을 차질 없이 추진하겠다”고 말했다.





박종일 기자 dream@asiae.co.kr



AD



<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",2023-12-29 01:22:52
서울 공중화장실 남녀 동선 확 나눠요,"범죄예방환경디자인 내년 적용

통행 잦고 잘 보이는 곳에 배치



서울시의 공중화장실 유니버설디자인 적용지침에 제시된 남녀 화장실 분리 가벽의 예시. 반투명 소재를 사용하고 상부를 개방해 안전성을 강화했다.

서울시 제공

서울시가 공중화장실의 남녀 동선을 확실히 분리하고 범죄 예방을 위한 안전시설 설치 기준을 마련한다.



시는 범죄예방환경디자인(셉테드·CPTED)이 강화된 공중화장실 유니버설디자인 적용지침을 개발해 내년부터 적용한다고 19일 밝혔다.



안전한 공중화장실 조성을 위해 위급상황 발생 시 신속하게 대응할 수 있도록 사람들의 통행이 잦고 어디서나 잘 보이는 위치에 화장실을 배치하도록 했다.



남녀 화장실 출입구는 간격이 3m 이내일 경우 가운데 가족 화장실을 배치하거나 분리 가벽을 세우고, 여자 화장실을 안쪽에 배치해 남자와 겹치는 동선을 최소화하도록 기준을 마련했다. 분리 가벽은 자연스러운 감시가 가능하도록 반투명 소재를 사용하고 안전사고 발생 시 소리가 들리도록 상부는 개방해야 한다. 시는 현재 신축 중인 별내선 지하철 역사 화장실부터 새로운 지침을 적용하기로 했다.



별도 기준이 없던 비상벨과 안심거울, 폐쇄회로(CC)TV 등 안전시설 설치 기준도 구체화했다. 시는 관련기관과 자치구, 민간에서 활용할 수 있도록 공중화장실 디자인 지침서를 온라인 등에 배포할 예정이다.

오달란 기자",2023-12-29 01:22:55
"동구의회, 제3차 추경안·행감 결과보고서 처리","2차보다 86억 오른 4천59억

동구의회 의사당에서 19일 열린 제216회 제2차 정례회 3차 본회의에서 박은심 예산결산특별위원회 위원장이 제3회 추가경정예산안 심사보고를 하고 있다. 사진제공=울산 동구의회

울산시 동구의회는 19일 제216회 제2차 정례회를 폐회하고 올해 의사일정을 마무리했다.

의회는 의사당에서 제216회 제2차 정례회 3차 본회의를 열어 ‘울산시 동구 2023년 제3회 추가경정예산안’과 ‘2023년도 울산시 동구의회 행정사무감사 결과보고서’를 처리했다.

의회 예산결산특별위원회는 심사 및 계수조정을 거쳐 제2회 추가경정예산 3천973억원보다 86억원 증가한 4천59억원 규모의 제3회 추가경정예산을 확정했다.

예결위는 시설공단 설립 타당성 검토 용역 1억원 중 7천500만원을 삭감해 내부유보금으로 반영하도록 했다.

박은심 예산결산특별위원회 위원장은 “시설공단의 필요성은 인정하지만 공단 설립의 적정성 여부, 사업별 수지분석, 지역경제 및 구 재정에 미치는 영향 등을 면밀히 검토해 진행하길 바란다”고 삭감 이유를 밝혔다.

이와 함께 의회는 2023년도 행정사무감사 결과보고서를 채택했다.

집행부로부터 452건의 자료를 제출받아 주요업무 추진실적, 예산지출 적정성 등 행정 전반을 살펴 시정 및 처리요구 64건, 건의사항 133건 등 197건에 대해 개선을 요구했다.

주요 지적사항은 △위탁기관 직원 겸직 관련 지도·관리 철저 △공용차량 사고 관련 명확한 기준 마련 및 관리 철저 △하청노동자 지원계획 수립 촉구 △조선업도약센터, 중장년기술창업센터 운영 관련 지도·점검 철저 △꽃바위바다소리길 조성사업 하자 보수 철저 △공공체육시설 관리실태 점검 및 관리감독 철저 △주전 보밑항 연안 정비공사 관리 철저 △방어진국민아파트 등 안전 확보 및 CCTV, 비상벨 관리 철저 등이다. 서유덕 기자

저작권자 © 울산제일일보 무단전재 및 재배포 금지",2023-12-29 01:22:55
"서울 공중화장실, 보편성·안전성 갖춰 새롭게 거듭난다","개방성, 자연감시를 고려한 남녀화장실 분리가벽 디자인 (제공: 서울시)

[천지일보 서울=송연숙 기자] 서울시가 기존 공중화장실 조성지침에서 범죄예방환경디자인 개념(CPTED)이 강화된 ‘공중화장실 유니버설디자인 적용지침’을 개발해 내년부터 공중화장실 조성과 개선 시 적용해 나간다고 19일 밝혔다.

시는 공중화장실 편의·질적 개선뿐 아니라 안전사고 예방이 강화된 새로운 지침이 필요하다고보고 2021년 화장실 내부 공간을 위주로 개발된 ‘시민편의공간 유니버설디자인 적용안내서(공중화장실편)’을 고도화해 이번 지침서를 마련했다.

새로운 적용지침은 기존의 유니버설디자인에 범죄예방환경디자인(CPTED) 개념을 더해 디자인적 보편성과 안전성을 높이는 방향으로 제작됐다.

지침서에는 ▲화장실 배치기준 제시 ▲남녀화장실 출입구 동선분리 및 분리가벽 디자인 개발 비상벨·안심거울․CCTV 등 안전 및 편의시설 설치기준 구체화 ▲설계·심의자 등 사용자 유형별 점검표 등 실무적인 가이드라인이 담겼다.

화장실 배치는 안전을 위해 건축설계 초기 단계부터 고려해야 하며 특히 위급상황 발생 시 신속하게 대응할 수 있도록 사람들의 통행이 많고 어디서나 잘 보이는 위치에 두어야 한다.

남녀화장실 출입구 동선은 현장 여건에 따라 적용할 수 있는 동선 분리방안과 안전시설 설치방안을 함께 제시하고 있다.

남녀화장실 분리 가벽은 자연 감시가 가능하도록 반투명 소재를 사용해 개방성과 보안을 동시에 충족토록 했으며 안전사고 시 소리가 전달될 수 있도록 상부는 개방한다.

비상벨과 안심거울, 진입부 경광등 설치 기준 (제공: 서울시)

별도 기준이 없었던 비상벨·안심거울·CCTV 등 안전시설 설치와 운영기준도 구체화했다. 비상벨은 필요한 순간 눈에 쉽게 띌 수 있도록 표기 요소를 명료화하고 시인성을 개선한다. 또 거울 위주의 간결한 디자인의 안심거울을 설치해 후방 감시가 즉시 가능토록 한다.

시는 향후 화장실 설계·담당자와 관리자가 적극 활용할 수 있도록 관련 기관·자치구 등에 지침서를 배포해 체계적인 공중화장실 조성과 관리를 유도할 예정이다. 지침은 건축적 지식이 없어도 설계부터 시공, 운영까지 쉽게 활용할 수 있도록 구성됐으며 단계별 활용 가능한 점검표도 포함됐다.

최인규 서울시 디자인정책관은 “이번 지침서를 통해 편리하고 안전한 공중화장실이 확산될 것”이라며 “서울이 세계적인 관광도시로 발돋움하는데 깨끗하고 안전한 화장실도 중요한 만큼 공공·민간화장실 안전과 질적 향상을 위해 지속적으로 노력해 나갈 것”이라고 말했다.",2023-12-29 01:22:57
남녀 출입 동선 분리…서울 공중화장실 더안전해진다,"서울 시내 공중화장실에 범죄·사고 예방 기능이 강화된 유니버설디자인이 적용된다. 남녀 출입구 동선을 분리하고, 후방 감시를 위한 안심거울 설계 기준이 처음 도입된다. 서울시는 공중화장실 유니버설디자인 적용지침에 이 같은 내용 등을 보강해 내년부터 화장실 조성과 개선을 실행할 예정이라고 19일 밝혔다.



새 지침은 범죄예방환경디자인(CPTED) 개념으로 보편성과 안전성을 높이는 데 초점을 맞췄다. 우선 화장실 배치는 설계 단계부터 안전을 고려해 위급 상황에 신속하게 대응할 수 있도록 통행량이 많고 어디서나 잘 보이는 위치로 정한다. 남녀 화장실은 여자화장실을 안쪽에 둬 출입구 동선을 최대한 분리하고 안심거울 등 안전시설을 설치하도록 한다. 사고 발생 현장의 소리가 밖으로 전달될 수 있게 위쪽은 개방한다.



서울시 관계자는 “현재 신축 공사 중인 별내선 지하철 역사 내 화장실에 이 같은 지침을 적용해 설치 중”이라며 “세부 도면과 디자인은 공공뿐 아니라 민간 화장실에도 활용할 수 있도록 지침서에 상세히 담았다”고 설명했다.



그동안 기준이 없었던 비상벨·안심거울·폐쇄회로(CC)TV 등 안전시설 설치·운영 방식도 구체화했다. 비상벨은 필요한 순간에 눈에 쉽게 띌 수 있도록 표기 요소를 명시해 시인성을 개선한다. 또 안전거울은 거울 이외 다른 디자인 요소를 없애 후방 감시 기능성을 높인다.



서울시는 화장실 설계·담당·관리자가 지침을 참고할 수 있도록 자치구 등에 배포할 예정이다. 건축 관련 지식이 없어도 설계부터 시공, 운영까지 도움을 받을 수 있게 설명을 담고 단계별 점검표도 포함했다. 서울시 홈페이지에서 e북으로도 볼 수 있다.

",2023-12-29 01:22:58
"의성군, 특이민원 대비 경찰과 합동 모의훈련","[경상매일신문=박세명기자]의성군이 지난 18일 군청 종합민원실에서 폭언, 폭력 등 직원보호와 현장 대응 농력을 높이기 위해 ‘특이민원 발생 대비 경찰과 합동 모의훈련`을 실시했다고 밝혔다.이날 모의훈련에서는 민원과 직원, 안전요원, 경찰 등 18여 명이 참여한 가운데 민원인 위법행위에 신속 대응할 수 있는 실제 상황을 가정한 훈련으로 진행했다.모의 훈련은 민원인 폭언 발생 시, 민원응대 메뉴얼에 따라 폭언 중단 요청 및 진정 유도, 상급자의 적극 개입, 사전고지 후 웨어러블캠 녹음 실시, 비상벨 신고, 민원인 제지, 피해 공무원 격리와 방문 민원인 대피, 특이 민원인 제압, 경찰 인계 순으로 대응 요령과 18개 읍면은 자체서 훈련을 실시하게 된다.김주수 군수는 ""정기적인 비상대응 훈련과 매뉴얼 숙지를 통해 비상대응 능력을 향상해 군민 모두가 안심하고 이용할 수 있는 민원실이 되도록 노력하겠다""고 말했다.",2023-12-29 01:22:59
"동구의회, 제216회 제2차 정례회 폐회...올해 의사일정 마무리","댓글 정렬

BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 닫기",2023-12-29 01:23:21
"유인애 강북구의원, 야간도시 범죄안전순찰 활동","[시민일보 = 홍덕표 기자] 서울 강북구의회(의장 최치효) 유인애 부의장(번1·2동, 수유2·3동)은 최근 강북경찰서, 강북구청, 자율방법대와 함께 야간도시 범죄 안전 합동 순찰 활동을 펼쳤다.



합동순찰단은 이날 오후 7시30분부터 2시간여 동안 야간시간대 사람들이 많이 모이는 연말연시, 강북구청 주변 수유먹자골목을 돌며 안전한지 꼼꼼이 살피고, 희망어린이공원, 상상어린이공원의 비상벨도 점검했다.



유 부의장은 ""수유역 먹자골목은 연말에 모임이 많고 유동인구가 많은 곳이다. 지역 안전을 위해 경찰서, 구청, 자율방범대가 함께 힘을 모아 지역 안전을 돌아봐 뜻깊은 시간이었다. 앞으로 지역의 안전에 더욱 신경쓰겠다""고 밝혔다.

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]",2023-12-29 01:23:23
"울산 동구의회, 제216회 제2차 정례회 마무리","새해 기준판매비율 어떤 술에 적용?…'화요' 되고, '스카치블루' 안되고",2023-12-29 01:23:24
