제목,기사 내용,타임스탬프
"인천시 남동구, 여성 1인 가구·점포에 ‘범죄예방시스템’","인천 남동구가 여성 대상 범죄 불안감 해소와 안전한 주거환경 개선을 위해 여성 1인 가구와 1인 점포에 범죄예방 시스템을 지원했다.

[인천=문찬식 기자]



구는 최근 여성 1인 가구 80가구에 실내용 CCTV, 스마트 초인종 등 4종의 ‘안심홈세트’를 지급하고, 여성 1인 점포 60곳에 ‘안심비상벨’을 설치했다고 5일 밝혔다.



이번 사업은 ‘인천시 여성안심드림 시범사업’에 선정돼 추진됐으며, 인천에서는 구가 최초로 시작했다.



‘안심 홈 세트’는 ▲실내용 CCTV ▲실시간 방문자 확인이 가능한 스마트 초인종 ▲비상 시 휴대용 비상벨을 누르면 위치정보와 녹음정보가 경찰 및 지인에게 전송되는 휴대용 비상벨로 구성돼 있다.



‘안심 벨’은 위험 상황에 벨을 누르면 인천지방경찰청 112상황실로 즉시 연결돼 경찰이 바로 현장에 출동할 수 있는 시스템이다.



구는 효율적인 사업 추진을 위해 여성 1인 가구의 경우 지역내 경찰서와 협업하여 범죄 피해 가구를 우선 접수했다. 1인 점포는 동 행정복지센터, 대한미용사회, 노래방협회, 전통시장 및 상인회 등의 홍보를 통해 다양한 업종의 점포가 신청할 수 있도록 했다.



구는 지난 8월부터 지원 대상자를 모집해 총 140건의 설치를 완료했다.



술집 밀집 지역의 한 소규모 점포 운영자는 “주취자들의 무단출입 등으로 인해 두려움과 어려움이 많았는데, 비상벨 설치로 안도감을 느낀다”고 전했다.



한 노래방 운영자는 “늦은 시각 손님 간 다툼이 발생했을 때 당황해 전화기를 찾기도 어려웠는데 간편하게 비상벨을 누르기만 하면 돼 안심이 된다”고 말했다.



박종효 구청장은 “앞으로도 선제적으로 범죄를 예방할 수 있는 사업 추진으로 1인 가구 등 사회적 약자가 마음 편히 생활할 수 있는 환경 조성을 위해 노력하겠다”고 밝혔다.

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]",2023-12-06 00:58:30
제목,기사 내용,타임스탬프
"고양시, 지능형 도시 구현 앞장","이동환 고양특례시장이 ‘2023 월드 스마트시티 엑스포’에서 기조연설을 하고 있다. 사진=고양시청

고양특례시는 첨단 기술로 정보를 수집하고, 데이터 기반으로 시민들의 삶의 질을 개선하는 지능형(스마트) 도시로 거듭나고 있다고 6일 밝혔다. 시는 도시 인프라를 효율적으로 활용해 더 나은 서비스를 제공하고, 혜택을 누리는 주체인 시민들의 역할도 강화하고 있다.



◇데이터 허브 등 8개 서비스 구축…‘거점형 스마트시티’ 건설 본격화 시동



고양특례시는 지난 5월 국토부에서 주관하는 ‘2023년 거점형 스마트시티 조성 사업’에 선정됐다. 해당 사업은 지역 특화·첨단 산업 인프라 구축을 돕고, 지능형(스마트) 도시 확산 거점으로 기능할 수 있도록 혁신적인 서비스 보급을 지원한다.



시는 앞으로 3년간 총 400억 원(국비·시비 각 200억 원)의 예산을 투입해 ‘에스-커브(S-Curve) 스마트시티’를 조성할 계획이다. 전국 지능형(스마트) 도시의 핵심 도시인 시흥·세종·대구·부산을 에스(S)자로 연결하여 고양시가 국토 스마트 공간 체계의 시작점으로서 최적의 거점 역할을 수행한다는 구상이다.



고양산업진흥원, 한국국토정보공사(LX), ㈜카카오엔터프라이즈 등 8개 기관, 기업과 함께 스마트 교통·도시 운영 인프라 분야 총 8개 사업을 추진한다. 구축할 사업은 ▶데이터 허브 ▶디지털 트윈(가상 모형) ▶수요응답형 버스 ▶교통분석 시스템 ▶드론 밸리 조성 ▶ 지능형(스마트) 행정 서비스 ▶스마트폴(지능형 기둥)과 미디어월(영상창) ▶이노베이션센터 운영 등이다.



시는 본격적인 고양형 지능형(스마트) 도시 구현을 위해 지난 10월 국토부와 협약을 맺었고, 오는 20일에는 사업을 수행할 기관, 기업과 협약을 체결할 계획이다. 또한 올해까지 실시계획을 수립해 국토부 승인을 받은 뒤 사업에 착수한다는 방침이다.



◇범죄·사고 예방하는 스마트안전센터… 인공지능(AI) 기반 지능형 선별관제시스템 확대



고양시 스마트안전센터에서는 지역 내 설치된 씨씨티비(CCTV) 8,967대를 대상으로 365일 24시간 동안 통합관제를 실시하고 있다. 지난 9월부터 명칭이 변경된 스마트안전센터(전 시민안전센터)는 경찰서, 소방서, 군부대, 시청 재난상황실 등과 긴밀한 협조 체계가 구축돼 지능형(스마트) 안전 도시의 핵심 역할을 수행한다.



시는 지속적으로 방범 씨씨티비(CCTV) 구축을 확대해 사회 안전망 확보에 힘쓰고 있다. 어린이 보호구역, 공원, 우범 지역 등에 설치된 씨씨티비(CCTV)에는 총 1,651대의 비상벨이 부착돼 있다. 시민들이 위급 상황 시 벨을 누르면 스마트안전센터 관제사와 연결돼 상황에 대한 안내, 조치가 가능하다. 지난해에는 방범 씨씨티비(CCTV)를 통해 9천여 건의 영상 정보를 제공했고, 강력사건 6건을 포함한 총 49건 사건 해결에 기여하기도 했다.



또한 관제 효율을 높이기 위해 인공지능(AI) 기반 지능형 선별 관제 시스템 800대를 운영한다. 지난해 처음으로 약 300대를 도입한데 이어 올해 500대가 추가로 설치됐다. 지능형 선별 관제 시스템은 인공지능 기술을 활용하여 상황에 따른 맞춤 영상 감시가 가능하다. 침입, 배회, 군집 등 특정 영상을 선별적으로 표출할 수 있어 관제 사각지대를 줄이는 대안으로 주목받고 있다. 시는 2025년까지 어린이보호구역, 학교 통학로, 공원 등을 중심으로 방범 씨씨티비(CCTV) 약 7천 대 중 30%(2천 대)에 지능형 선별 관제 시스템을 추가 도입할 예정이다.



◇‘고양 스마트시티 리빙랩’… 도시 문제 발굴·해결 우수 사례로 호평



지난 2018년부터 고양시와 고양산업진흥원은 ‘고양 스마트시티 리빙랩’ 사업을 함께 펼치고 있다. ‘일상생활 속 실험실’이라는 뜻의‘리빙랩(Living Lab)’은 시민들이 생활 속에서 스스로 도시 문제를 찾고, 발굴된 문제에 기업의 첨단 정보통신기술(ICT)을 적용해 지능형(스마트) 도시 서비스로 구현해 내고 있다.



지난해에는 시민해결단이 덕양구 마상공원 우범화 방지를 위해 스마트 벤치 설치를 추진했다. 스마트 벤치는 태양광 에너지를 활용해 휴대폰 무선 충전이 가능하고, LED 문자와 패턴으로 빛을 밝혀 야간 공원 이용 시 편의성을 높이는 데 기여했다. 이와 같은 리빙랩 성과를 인정받아 고양시는 ‘2023 월드 스마트시티 엑스포 어워즈’에서 ‘도시 부문’ 우수 기관으로 선정되기도 했다.



올해 ‘고양 스마트시티 리빙랩’ 사업으로는 작년에 이어 일산서구 가좌공원에 스마트 벤치가 설치됐다. 또한 일산서구 일산동의 야간 환경 개선을 위해 사물인터넷(IoT) 조명 시스템을 개발했고, 지역 내 곳곳에 시민 보행 안전을 위한 불법 적치물 검출 씨씨티비(CCTV) 연동 시스템도 구축했다.



아울러 지능형(스마트) 도시 구현에 지속적으로 동참하기 위한 문화 확산과 시민 역량 강화를 위해 ‘2023년 고양 스마트 시티즌’을 모집, 운영했다. 스마트 시티즌은 디자인 싱킹, 마을지도 만들기 등에 참여하며 과정별 도시 문제 해결을 위한 활동을 함께했다.



표명구·박홍기기자",2023-12-06 01:03:46
"대전시, 겨울철 폭설대응 현장훈련","민관협업을 통한 신속한 대응으로 시민 불편 최소화

대전시청사 전경

대전시는 겨울철 폭설에 효율적으로 대처하기 위해 6일 오후 서구 구봉로 정림대교에서 「2023년 겨울철 폭설대응 현장훈련」을 실시한다.

이번 훈련은 겨울철 자연재난 대책기간(2023.11.15. ~ 2024.3.15.) 중 폭설 등으로 인한 재난 상황 시 시민의 생명과 재산을 보호하고 불편을 최소화하기 위해 마련됐다.

대전시 재난관리과 주관으로 실시된 이번 훈련은 건설도로과, 건설관리본부, 서부경찰서, 서부소방서, 5개 구청 및 지역자율방재단 등이 참여하는 민관합동훈련으로 진행된다.

훈련은 갑작스러운 폭설 상황에서 차량이 미끄러지면서 뒤따르던 차량의 연쇄추돌사고 및 고립에 따라, 대전시와 유관기관이 협업하여 신속히 차량 소통을 정상화하는 내용으로 실질적인 훈련 성과를 위해 제설차량과 방재드론, 구급차량 등 장비 30여 대가 동원된다.

양승찬 대전시 시민안전실장은 “최근 이상기후로 적설 일수는 적지만, 단기간에 국지적으로 많은 눈이 내려 큰 피해가 발생할 수 있다”라면서 “대전은 그간 큰 피해는 없었지만, 언제라도 재난이 발생할 수 있다는 가정하에 시민들의 생명과 재산을 보호하고 불편이 최소화될 수 있도록 재난 대비·대응에 최선을 다하겠다”라고 말했다.

한편, 겨울철 자연재난 대책기간은 11월 15일부터 내년 3월 15일까지며, 기간 동안 기상특보 발령 시 선제적 재난 대응을 위한 재난안전대책본부가 가동된다.

taegyeong3975@shinailbo.co.kr

저작권자 © 신아일보 무단전재 및 재배포 금지",2023-12-06 01:03:47
"송파구, ‘여성안심귀갓길’ 16개 구간 전수점검","(사진=송파구)

서울 송파구가 구민의 편안한 귀가를 위해 조성한 ‘여성안심귀갓길’ 16개 구간을 전수 점검했다. 노후화한 14개 구간 32개소 시설물을 안전하고 쾌적하게 개선했다.

5일 구에 따르면 ‘여성안심귀갓길’은 구와 경찰서가 함께하는 협력치안체계다. 특정 골목이 유동인구, 범죄율, 신고율 등을 고려해 ‘여성안심귀갓길’로 선정되면, 구는 범죄예방디자인(CPTED)을 적용해 보안등, 노면표지, 안내판 등을 설치한다.

인근 지구대는 해당 골목을 특별순찰구역으로 지정해 순찰을 강화하는 등 다각도에서 범죄 발생 가능성을 차단한다.

관내 16개 귀갓길은 모두 2015년부터 2018년 사이 조성돼 상당한 노후화가 진행되고 있었다. 이에 구는 지난여름, 지역주민 10명으로 구성된 ‘안심모니터링단’을 파견해 거리시설을 면밀히 점검하고 최종적으로 보수가 필요한 14구간 32개소를 발굴했다.

이에 따라 구는 마모된 도로표지를 재도색하고 낡은 고보조명렌즈, 위치안내표지판 등을 시인성 높은 디자인으로 새롭게 교체했다.

구 관계자는 “사인물의 기능성을 높이고 노후시설을 말끔히 정돈해서 범죄예방 효과뿐만 아니라 밤길이 주는 불안감까지 해소하고자 했다.”며 사업 취지를 설명했다.

이외에도, 구는 밤늦게 귀가하는 여성과 청소년을 위해 ‘안심귀가스카우트’를 운영 중이다. 스카우트 대원이 2인 1조로 평일 밤 10시부터 새벽 1시까지(월요일은 자정까지) 지하철역, 버스정류장 등 유동인구가 많은 곳부터 목적지까지 동행하고 우범지역을 순찰하며 주민의 안전한 밤길을 책임진다.

서강석 송파구청장은 “도시의 기본은 안전이다. 남녀노소 누구나 365일 안심하고 다닐 수 있도록 이번 여성안전귀갓길 정비를 추진한 것”이라며, “창의와 공정의 가치를 토대로 모든 구민이 안전한 통행권을 보장받을 때까지 지속적인 관심과 노력을 기울이겠다.”고 전했다.

[신아일보] 서울/김두평 기자

dpkim@shinailbo.co.kr

저작권자 © 신아일보 무단전재 및 재배포 금지",2023-12-06 01:03:48
울릉도 연말연시 맞아 음주 집중단속…울릉경찰서자체음주단속실시,"울릉도 내수전 터널 앞에서 단속 중인 경찰, 이 터널을 통과한 음주 운전자가 다음 터널에서 교통사고로 사망했다,

최근 울릉도에서 일어난 교통사망사고 등 잇따라 발생한 교통사고는 운전자가 만취상태에서 발생하자 울릉경찰서(서장 김정진)가 울릉군민의 안전을 위해 집중단속에 나섰다.

울릉경찰서는 5일 오후 4시~6시까지 울릉읍 사동리에서 오후 7시~9시까지 저동리 내수전 터널 앞에서 집중 단속, 음주 운전자를 적발했다.

울릉경찰서는 연말연시를 맞아 음주운전자가 증가할 것으로 보고 다음 주부터 주 2회~3회 주·야간 게릴라식으로 집중 단속한다고 밝혔다.

울릉읍 사동리에서 교통단속 중인 경찰

이번 음주 단속은 최근 일어난 교통사고가 모두 만취 상태에서 발생, 울릉경찰서가 자체적으로 음주단속을 시행, 울릉주민들의 안전을 도모한다는 계획이다.

울릉도에서 지난달 25일 오후 4시 10분께 와달리터널(길이 1천955m)안에서 발생한 교통사고는 소형 마티즈 차량 운전자가 음주상태에서 중앙선을 넘어 반대차선 차량과 충돌, 40대 마티즈 운전자가 안타깝게 숨졌다.

와달리 터널에서 음주운전자가 반대편 차선에서 운전하던 차량과 충돌 사망했다.

또, 3일 저녁 7시30분께 울릉읍 사동리 중령 도로에서 정차된 차량을 파손한 운전자 A(69)씨도 측정결과 알코올 수치가 면허취소 수준인 0.13%인 것으로 알려졌다.

울릉경찰서는 연말연시를 맞아 음주운전이 늘어날 것으로 예상됨에 따라 음주운전이 뿌리가 뽑힐 때까지 예측할 수 없는 장소 및 시간대에 게릴라식 단속을 계속한다는 계획이다.

/김두한기자kimdh@kbmaeil.com",2023-12-06 01:03:49
"""교통약자 편리하게""…영동군 영동읍 노선 전기 저상버스 운행","6일 정영철 영동군수가 영동읍 노선 전기 저상버스 운행을 축하하고 있다. (영동군 제공) /뉴스1

충북 영동군은 영동읍 공공거점 순환버스 노선을 전기 저상버스로 운행한다고 6일 밝혔다.교통약자를 포함한 군민들이 편리하게 공공서비스를 이용할 수 있도록 하기 위해서다. 버스 운행은 영동군과 운행협약을 한 동일버스㈜에서 맡는다.노선은 영동역~경찰서~농협하나로마트~보건소~영동체육관~힐링관광지~과일나라테마공원 7㎞ 구간이다. 영동역에서 25분 간격으로 운행한다.군은 앞서 지난해 농촌형 교통모델사업을 신청해 4억원(국비 2억원, 지방비 2억원)의 예산을 확보했다.이후 지난 8월 영동읍 공공서비스 거점 순환버스 노선을 신설해 시범운행을 거쳐 이날 운행을 시작하게 됐다.정영철 군수는 버스 시승한 자리에서 ""주민들에게 더 나은 교통 서비스를 제공하는 중요한 첫 발걸음""이라며 ""교통 인프라 개선을 통해 군민이 편리하고 안전하게 이동할 수 있도록 노력하겠다""고 말했다.jis4900@news1.kr",2023-12-06 01:03:50
"부안군, 기습폭설 대비 현장 대응훈련","제설장비 전진배치 고립 운전자 구조 긴급 복구반 투입 등 진행

부안군은 5일 부안스포츠파크 일원에서 겨울철 폭설에 대비한 교통소통 대책 현장훈련을 실시했다.

이번 훈련은 겨울철 기습폭설에 고립된 운전자를 구조 및 대처하기 위한 것으로 전라북도, 부안군, 부안소방서, 부안경찰서, 육군제8098부대 1대대, 지역자율방재단 등 50여명이 참석한 가운데 이뤄졌다.

훈련은 부안스포츠파크 일대에 10cm이상의 기습 폭설을 가정하에 제설장비 전진배치, 고립차량 운전자 구조 및 응급구조, 구호물품 전달, 긴급 복구반 투입 등으로 진행되었다.

훈련은 실제 상황과 최대한 유사하게 연출되었으며, 부안군은 이번 훈련을 통해 기습폭설에 대비한 대응능력을 향상시키고, 관련기관과의 협력체계를 강화하기 위한 계기로 삼았다.

권익현 부안군수는 “ 이번 폭설대응 교통소통대책 훈련을 통해 겨울철 재난 상황 발생시 유관기관과 긴밀히 협조체계를 가동해 정상적인 교통소통과 안전한 상황관리로 군민의 불편을 최소화 하겠다.” 고 말했다.

부안=이헌치기자

저작권자 © 전민일보 무단전재 및 재배포 금지",2023-12-06 01:03:51
[그림으로 찾아가는 양산3] 경찰공무원의 하루,"수업이 끝나고 따뜻한 차가 생각나 근처 카페에 앉았다. 차를 마시다 말고 멍하게 창밖을 바라보다 '양산을 움직이는 사람들이 누가 있을까?' 라는 생각에 빠져있을 때 밖에서 들리는 소리에 고개를 돌렸다. 경찰차 한 대가 눈에 들어왔고 어르신을 부축하고 있는 경찰이 보였다. 아... 저기 있네. 이번 이야기는 경찰공무원 이야기를 써보자.

망설임 없이 근처 파출소로 향했고 문을 열자 그들은 반갑게 맞아주었다. 인터뷰 요청에 거절할 줄 알았는데 흔쾌히 수락해주셔서 너무 감사했다. 오늘 이야기는 평산파출소에 근무중인 경위 서근호님의 이야기이다.

▶자기소개 간단하게 부탁드릴게요.

안녕하세요. 저는 양산경찰서 평산파출소에서 근무중인 경위 서근호라고 합니다. 평산파출소에서 순찰팀원으로 근무하고 있으며, 평소 순찰업무, 112신고사건 처리, 교통사고 처리 및 범죄예방활동을 하고있습니다.

▶경찰이 되겠다고 결심한 때는 언제였을까요?

친구와 함께 의경에 지원하여 군 복무를 울산 중구동에 있는 기동1중대에서 했는데 파출소 방범지원근무를 나가서 경찰생활을 접하게 되었고, 경찰공무원이라는 직업에 대한 매력을 느껴 전역하자 마자 공부를 시작하여 시험에 합격 후 지금까지 19년째 경찰생활을 하고 있습니다.

▶일 하시면서 보람된 일도 있었겠지만 힘든 일도 있었을거 같은데, 어떤 일이였을까요?

여러가지가 있지만 탈진한 상태로 12시간 넘게 길잃고 헤매는 치매 어르신을 찾아서 가족들에게 인계하거나, 지갑을 도난당한 피해자를 위해 직접 인근 cctv로 동선을 확인하여 피의자의 차량을 확인 후 피해품을 찾게 되었고 다음 날 피해자가 파출소에 직접 찾아와 고맙다는 말을 해주셨을 때 큰 보람을 느꼈습니다. 힘들고 안타까운 일이라면 교통사망사고, 변사사건 현장에서 끔찍한 상황을 목격했을때가 가장 힘들었었고, 그 사실을 유족들에게 전화로 알려주거나 현장에 온 유족들의 우는 모습을 볼 때 많이 안타까웠습니다.

그는 잠시 침묵했고 당시의 모습을 회상하는 듯 했다. 한참을 생각에 잠겨있던 그는 다시 웃으며 양산시와 양산시민분들에게 바라는 부분을 말해도 되느냐고 한다.

첫째 양산시에 바라는점은 범죄없는 안전한 양산시가 되도록 우범지역 환경개선 및 방범용cctv카메라 설치를 위해 많은 노력을 해주셨으면 좋겠습니다.

둘째 양산시민들에게 바라는점은 경찰활동이 사건처리도 중요하지만 예방활동도 아주 중요합니다. 매 사건 한정된 경찰인력으로 모든 범죄를 예방할수 없기에 시민들의 목격한 사실이 범죄로 진행되기 전에 미리 신고해주시면 더 큰 피해를 예방할 수 있습니다. 조금이라도 수상한 점이 있으시면 112로 신고해주세요. 그리고 음주운전은 절대 안됩니다. 다들 아시죠?

방문자로 인해 짧은 인터뷰가 끝이 났지만 그의 머릿속에는 시민들이 안전에 대한 생각들로 가득차 있음이 보였다. 경찰로서의 자부심과 긍지를 볼수 있어 보람된 시간이였다. 그와의 인터뷰를 다시 회상하며 감사의 뜻을 전한다.",2023-12-06 01:03:52
"여에스더, 전직 식약처 과장에게 고발 당해…""허위광고? 사실 아냐""","[뉴스워커_이슈 들추기] 가정의학과 전문의 겸 방송인인 여에스더(58)가 식품의약품안전처 전직 과장으로부터 “의사 신분을 이용해 소비자를 속이고 있다”며 허위·과장 광고 혐의로 고발당한 가운데, “불법 주장은 사실이 아니다”라며 직접 입장을 밝혔다.

6일 에스더몰에 따르면 여에스더는 본인이 운영하는 에스더몰 홈페이지에 공식입장문을 올리고 “고발자가 불법이라고 주장한 내용은 전혀 사실이 아니다”라고 반박했다.

여에스더는 “에스더포뮬러의 모든 광고는 식약처가 광고 심의를 공식 위탁한 건강기능식품협회의 심의를 거친 광고물임을 분명히 밝힌다”라면서 “고발자가 불법이라고 주장한 대부분은 소비자들에게 건강정보를 제공하기 위해 운영했던 매거진의 일부 문구”라고 설명했다.

그는 “이는 판매하는 제품의 설명이 아니다”라면서 “매거진 운영이 법률상 문제가 없음을 확인한 건강기능식품협회의 공문 또한 받고 진행한 사안”이라고 강조했다.

여에스더는 “고발자는 이미 수년 전 식약처를 나와 현재는 건기식 업체에 유료 상담 및 자문하는 행정사무소를 운영 중”이라며 고발자의 진정성에 의문을 되레 제기했다.

그는 경찰 수사에 대해서는 적극 협조하겠다는 뜻도 밝혔다. 여에스더는 “저희 잘못이 드러난다면 물론 응당한 처벌을 받고 사회적 책임을 지겠다”며 “해당 고발건에 대해 수사당국이 현명한 판단을 내려줄 것으로 믿으며, 결과에 따라 고발인에 대한 합당한 법적 책임을 엄중히 물을 것임을 밝힌다”고 덧붙였다.

고발인 A씨 “의사 신분 활용해 제품 판매…400개 중 절반이 법률 위반”

앞서 지난 3일 서울 강남경찰서는 가정의학과 전문의이자 방송인인 여에스더를 대상으로 한 고발장이 지난달 접수돼 수사에 착수한 상태라고 밝힌 바 있다.

전직 식약처 과장을 지냈던 고발인 A씨의 주요 고발 사유는 여씨가 판매하는 상품의 허위·과장 광고라고 밝혔다. A씨는 여에스더가 온라인몰에서 판매하는 400여개 상품 중 절반 이상이 해당 법률을 위반했다고 주장했다. A씨는 “의사 신분을 활용하는 것은 큰 문제라고 여겨 공익을 위해 고발했다”라고 밝혔다.

A씨의 주장에 따르면 여에스더가 판매한 상품 중 절반 이상이 식품표시광고법 8조 1~5항을 위반했다는 설명이다. 식품표시광고법 8조 1~5항은 △질병의 예방·치료에 효능이 있는 것으로 인식할 우려가 있는 표시 또는 광고 △식품 등을 의약품으로 인식할 우려가 있는 표시 또는 광고 △건강기능식품이 아닌 것을 건강기능식품으로 인식할 우려가 있는 표시 또는 광고 △거짓·과장된 표시 또는 광고 등이다.

A씨의 고발로 인해 수사 착수 소식이 전해지자 에스더몰 관계자는 “진행 중인 광고는 모두 한국건강기능식품협회 심의를 통과한 내용으로 허위·과장 광고라고 볼 수 없다”라면서 “식약처와 건강기능식품협회의 해석이 모두 일치하지는 않아 허위·과장 광고 여부는 해석하는 바에 따라 달라질 수 있다”고 1차적으로 설명한 바 있다.

식약처, 허위‧과장 광고 의혹 건에 대해 법률 위반 사항 검토 나서

식약처도 여에스더의 ‘허위·과장 광고 의혹’ 건에 대해 법률 위반 사항이 있는지 검토에 나섰다.

언론에 따르면 식약처 관계자는 여에스더 고발 건에 대해 문의가 잇따르자 “부당표시 광고에 해당한다는 민원이 식약처로도 접수되고 있다”며 “이에 식약처는 해당 부분이 부당표시 광고에 해당하는지 법리 해석과 전문가 자문을 거쳐 판단키로 했다”고 밝혔다.

이어 “만약 법률 위반이 확인된다면 해당 사이트 차단이나 행정처분 등을 요청할 예정”이라고 덧붙였다.

금융감독원 전자공시시스템에 따르면 여씨가 대표인 (주)에스더포뮬러의 지난해 매출은 2016억 3961만원이다. 이는 2019년 373억 4214만원 대비 5배 이상 증가했다.

일각에서는 홈쇼핑에서도 에스더포뮬러의 허위·과장 광고 가능성이 이뤄졌을 가능성이 제기되고 있다. 에스더포뮬러는 홈쇼핑 판매를 기반으로 성장한 회사이기 때문이다.

에스더포뮬러가 판매해 온 제품 중 일부는 식약처 인증이 따로 필요하지 않은 기타가공품도 있다. 기타가공품은 일반식품에 속하기 때문에 건강 기능성을 강조하거나 광고할 수 없다. 홈쇼핑에서도 이같은 효능을 직접 언급해서는 안되고, 우회적인 방법으로 제품의 화제성 등을 활용한 방송을 하고 있다. 에스더포뮬러는 업계에서 이같은 기타가공품을 여에스더가 가정의학과 유명 의사인 점을 활용해 ‘꼼수’로 제품을 판매해 왔다는 지적을 받고 있다.

이번 고발 건으로 인해 경찰과 식약처의 조사가 이뤄지면서 관련 상품을 판매 중인 홈쇼핑 업체들도 상황을 예의 주시 중이다. 홈쇼핑 업체들은 에스더포뮬러 상품 방송과 판매를 유지하면서 경찰과 식약처 조사 결과 등의 추이를 살피겠다는 입장이다,

관련업계에서는 여에스더가 의사라는 점을 활용해 ‘꼼수 상품’ 판매가 이뤄진 만큼 윤리적 차원에서는 문제가 될 수 있다는 자성의 목소리도 일각에서는 나온다. 제품 판매에 대한 허위‧과장 광고 여부를 판단하기는 쉽지 않겠지만, 소비자에 제품을 판매하는 홈쇼핑 측에서도 책임감이 필요하다는 관측이다.",2023-12-06 01:03:53
"60대男, 대리모에 돈 주고 얻은 아기 1명 아닌 셋…평택 대리모 사건 전말","[게티이미지뱅크]

[헤럴드경제=나은정 기자] '출생 미신고 아동' 전수 조사 과정에서 생사가 불분명한 한 아동의 생모가 자신은 대리모였다고 주장했던 '평택 대리모 사건'의 수사 결과 임신과 출산을 의뢰한 60대 친부가 총 3명의 아기를 각각 다른 대리모를 통해 낳은 것으로 드러났다.

경기남부경찰청 여성청소년과는 아동복지법 위반(아동매매) 혐의로 30대 대리모 A씨, 50대 여성 B씨 등 브로커 2명, 의뢰인인 60대 친부 C씨 등 총 4명을 형사 입건했다고 6일 밝혔다.

A씨는 2015년 인터넷을 통해 만난 B씨와 출산비, 병원비, 생활비 등 명목으로 4900만원을 받는 대가로 대리모를 하기로 공모한 혐의를 받고 있다. 그는 실제로 2016년 10월 29일 지방의 한 병원에서 C씨의 정자를 이용해 임신한 남자 아기를 출산한 후 C씨 측에 아기를 건네준 혐의도 있다.

이 사건은 '수원 냉장고 영아시신' 사건을 계기로 2015년~2022년 출산 기록은 있지만 출생 신고는 되지 않은 '출생 미신고 아동'에 대한 보건복지부의 전수 조사가 시작되면서 세상에 알려졌다.

평택시는 지난 7월 ""(복지부로부터 통보받은 사례 중) 출생 미신고 아동의 생사가 불분명한 사건이 있다""고 경찰에 수사를 의뢰했다.

경찰은 즉시 생모인 A씨를 형사 입건해 조사했고, A씨는 ""포털사이트 난임 카페에서 B씨를 알게 돼 C씨의 정자를 받고 대리모를 하기로 했다""며 ""돈을 받고 임신 및 출산 후 아동을 C씨 측에 건넸는데, 아이의 소재는 알지 못한다""고 진술했다.

경찰은 A씨의 휴대전화 포렌식을 통해 브로커 B씨의 소재를 파악, 범행 일체를 자백받았다. 이어 이들 간의 금전 거래 내역을 확인하고 마침내 지난 9월 친부 C씨를 찾아냈다.

대리모 A씨가 낳은 후 C씨 측에 보낸 아동은 C씨의 아들로 정상적으로 출생 신고가 돼 있는 것으로 파악됐다. 다만 C씨는 이러한 방식으로 대리모를 통해 2명의 아동을 더 건네받아 키우고 있었던 것으로 밝혀졌다. C씨는 브로커 B씨를 통해 2명, 또 다른 브로커를 통해 1명, 총 3명의 아기를 각각 대리모를 통해 출산해 양육 중인 것으로 확인됐다. 이 3명의 아동은 C씨 슬하에서 건강하게 잘 자라고 있다.

C씨는 출생증명서 없이도 출생 신고를 할 수 있는 '인우보증제'를 이용해 3명의 아동을 친자로 등록한 것으로 알려졌다. 인우보증제는 병원 밖 출산으로 인해 출생증명서가 없는 경우 출산을 증명해 줄 수 있는 사람 2명을 증인으로 세우는 제도로, 증인에는 어떤 조건도 없다.

인우보증제는 악용 사례가 늘어나면서 2016년 말 폐지됐는데, C씨의 범행 역시 이후 더는 이뤄지지 않았다. C씨는 ""이미 장성한 자녀들이 있으나, 아이를 더 가지고 싶어서 대리모를 통해 출산한 아기를 건네받았다""고 했다.

경찰 관계자는 ""피의자들에 대해 생명윤리 및 안전에 관한 법률 위반 혐의를 적용하려 했으나 공소시효가 지나 아동매매 혐의를 적용했다""며 ""이번 수사에서 추가로 확인된 대리모 출산 아동 2명은 이미 다른 경찰서 2곳에서 각각 수사 중인 사건으로 밝혀졌다""고 말했다.

경찰은 친자 여부 확인을 위해 국립과학수사연구원에 DNA 감정을 의뢰하는 등 보강 조사 후 사건을 검찰에 송치할 계획이다.

betterj@heraldcorp.com",2023-12-06 01:03:54
